scenario,domain,attack_type,src,dst,attack_at,detection_at,mitigation_at,unblock_at,Td_s,Tm_s,Tu_s
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.61.1.147,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:23:52,2026-07-18 02:24:52,5.0,1.0,60.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.3.3,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:53,2026-07-18 02:24:50,1.0,6.0,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.3.4,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:53,2026-07-18 02:24:50,1.0,6.0,57.0
2a,mobile,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.60.4.3,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:47,2026-07-18 02:23:56,2026-07-18 02:24:53,1.0,9.0,57.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.3.10,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:57,2026-07-18 02:23:57,2026-07-18 02:24:54,11.0,0.0,57.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.1.10,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:57,2026-07-18 02:24:30,2026-07-18 02:25:27,11.0,33.0,57.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,*,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:57,2026-07-18 02:24:41,2026-07-18 02:25:37,11.0,44.0,56.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.2,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.3,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.4,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.5,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.6,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.7,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.8,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.9,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:51,2026-07-18 02:24:41,2026-07-18 02:25:41,5.0,50.0,60.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.4.10,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:23:57,2026-07-18 02:24:42,2026-07-18 02:25:38,11.0,45.0,56.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,*,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:24:30,2026-07-18 02:25:03,2026-07-18 02:25:37,44.0,33.0,34.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.2,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.3,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.4,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.5,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.6,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.7,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.8,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,broadband,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.50.0.9,10.99.0.1,,,2026-07-18 02:25:03,2026-07-18 02:25:41,,,38.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.3.10,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:24:30,2026-07-18 02:25:10,2026-07-18 02:26:02,44.0,40.0,52.0
2a,enterprise,MULTIDOMAIN_DISTRIBUTED_ATTACK,10.0.2.10,10.99.0.1,2026-07-18 02:23:46,2026-07-18 02:24:30,2026-07-18 02:25:13,2026-07-18 02:26:05,44.0,43.0,52.0
2a,enterprise,SYN_FLOOD,10.0.1.10,10.0.3.10,2026-07-18 02:27:00,2026-07-18 02:27:02,2026-07-18 02:27:02,2026-07-18 02:28:12,2.0,0.0,70.0
